City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Hilo,19.7297,-155.09,72.81,90,78,1.01,US,broken clouds
80,Norman Wells,65.282,-126.8329,-12.96,70,100,18.41,CA,light snow
81,Saldanha,-33.0117,17.9442,62.65,98,37,8.59,ZA,scattered clouds
82,Udaipura,23.0833,78.5,67.68,21,0,3.42,IN,clear sky
83,Uni,57.7535,51.4923,11.25,97,99,4.47,RU,overcast clouds
84,Cidreira,-30.1811,-50.2056,67.41,74,6,8.16,BR,clear sky
85,Los Llanos De Aridane,28.6585,-17.9182,62.35,72,75,18.01,ES,broken clouds
86,Port Lincoln,-34.7333,135.8667,79.45,48,0,18.54,AU,clear sky
87,Chokurdakh,70.6333,147.9167,-39.73,99,79,3.85,RU,broken clouds
88,Sistranda,63.7256,8.834,39.9,61,100,24.65,NO,overcast clouds
89,Kutum,14.2,24.6667,45.7,34,18,8.61,SD,few clouds
90,Nome,64.5011,-165.4064,-7.53,59,0,13.8,US,clear sky
91,Hermanus,-34.4187,19.2345,66.79,92,66,4.25,ZA,broken clouds
92,Glasgow,55.8652,-4.2576,37.2,84,84,2.3,GB,broken clouds
93,Slavgorod,52.9978,78.6449,4.19,82,10,7.96,RU,clear sky
94,San Joaquin,37.9333,-121.3011,55.99,57,0,3.44,US,clear sky
95,Rikitea,-23.1203,-134.9692,79.02,72,16,18.75,PF,few clouds
96,Devonport,-41.1667,146.35,73.09,57,0,8.63,AU,clear sky
97,Saint George,37.1041,-113.5841,52.39,25,0,4.0,US,clear sky
98,Qaanaaq,77.484,-69.3632,-11.63,59,28,7.0,GL,scattered clouds
99,Buala,-8.145,159.5921,85.89,73,97,12.41,SB,light rain
100,Sur,22.5667,59.5289,71.2,60,0,13.58,OM,clear sky
101,Khatanga,71.9667,102.5,-17.36,98,100,9.86,RU,overcast clouds
102,Kuopio,62.8924,27.677,31.95,93,100,6.91,FI,overcast clouds
103,Cherskiy,68.75,161.3,-29.07,100,33,1.45,RU,scattered clouds
104,Tadine,-21.55,167.8833,83.41,76,85,3.62,NC,overcast clouds
105,Vaini,-21.2,-175.2,75.36,100,100,10.36,TO,moderate rain
106,Najran,17.4924,44.1277,48.85,56,32,2.71,SA,scattered clouds
107,Cabo San Lucas,22.8909,-109.9124,67.51,73,20,0.0,MX,few clouds
108,Jambi,-1.6,103.6167,86.43,59,69,5.97,ID,broken clouds
109,Socorro,31.6546,-106.3033,47.41,35,0,12.66,US,clear sky
110,Usinsk,65.9939,57.5281,5.47,84,100,7.94,RU,overcast clouds
111,Zhuhai,22.2769,113.5678,64.9,88,40,9.22,CN,scattered clouds
112,Mae Ramat,16.984,98.5166,79.12,50,47,3.27,TH,scattered clouds
113,Tiksi,71.6872,128.8694,-17.91,98,100,6.55,RU,overcast clouds
114,Mazamari,-11.3258,-74.5308,69.31,99,100,1.92,PE,overcast clouds
115,Leningradskiy,69.3833,178.4167,-27.76,100,62,2.86,RU,broken clouds
116,Kandrian,-6.2167,149.55,88.48,64,99,8.41,PG,light rain
117,Petauke,-14.2426,31.3253,59.61,96,55,3.06,ZM,broken clouds
118,Pangnirtung,66.1451,-65.7125,-38.36,95,100,4.85,CA,overcast clouds
119,Souillac,-20.5167,57.5167,79.36,80,100,10.87,MU,overcast clouds
120,Hurghada,27.2574,33.8129,57.24,54,0,10.36,EG,clear sky
121,Yellowknife,62.456,-114.3525,-3.59,90,20,3.44,CA,few clouds
122,Harper,4.375,-7.7169,78.75,83,100,5.79,LR,overcast clouds
123,Talnakh,69.4865,88.3972,-27.45,97,56,1.52,RU,broken clouds
124,Chhaprauli,29.2167,77.1833,59.2,57,0,1.68,IN,clear sky
125,Tasiilaq,65.6145,-37.6368,21.36,53,100,60.31,GL,light snow
126,Ixtapa,20.7,-105.2,72.63,83,75,2.3,MX,broken clouds
127,Narsaq,60.9167,-46.05,10.62,76,100,11.83,GL,light snow
128,Eltham,-39.4292,174.3,67.44,95,100,2.95,NZ,light rain
129,Yulara,-25.2406,130.9889,91.24,17,0,13.8,AU,clear sky
130,Russell,32.3502,-85.1999,49.28,72,100,5.84,US,overcast clouds
131,Puerto Lempira,15.2667,-83.7667,73.76,69,4,6.87,HN,clear sky
132,Saint-Augustin,51.226,-58.6502,-25.44,92,20,4.59,CA,few clouds
133,Gari,59.4307,62.3497,0.82,99,100,5.06,RU,overcast clouds
134,Nikolskoye,59.7035,30.7861,35.87,97,100,7.11,RU,overcast clouds
135,Castro,-24.7911,-50.0119,60.96,86,8,1.79,BR,clear sky
136,Katherine,-14.4667,132.2667,88.12,66,40,4.61,AU,scattered clouds
137,Jackson,42.4165,-122.8345,51.67,53,0,4.61,US,clear sky
138,Xichang,27.8964,102.2634,49.01,70,79,2.95,CN,broken clouds
139,Yumen,40.2833,97.2,17.69,59,100,10.38,CN,overcast clouds
140,Half Moon Bay,37.4636,-122.4286,59.4,72,100,1.01,US,mist
141,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,55,75,20.13,RU,light snow
142,Vanavara,60.34,102.2797,-5.03,95,100,2.98,RU,overcast clouds
143,Ursulo Galvan,22.7333,-98.3,61.34,71,42,4.52,MX,scattered clouds
144,Baijiantan,45.6333,85.1833,7.9,84,4,5.57,CN,clear sky
145,Jamestown,42.097,-79.2353,29.79,45,0,10.36,US,clear sky
146,Chattanooga,35.0456,-85.3097,37.42,79,0,0.0,US,clear sky
147,San Ramon De La Nueva Oran,-23.1322,-64.326,70.34,72,96,1.95,AR,overcast clouds
148,Aykhal,66.0,111.5,-12.77,98,99,6.08,RU,overcast clouds
149,Butaritari,3.0707,172.7902,81.66,76,63,15.66,KI,moderate rain
150,Upernavik,72.7868,-56.1549,-13.76,100,100,8.72,GL,overcast clouds
151,Kattivakkam,13.2167,80.3167,82.49,77,37,5.86,IN,scattered clouds
152,Severo-Kurilsk,50.6789,156.125,31.41,81,100,9.33,RU,overcast clouds
153,Mayo,38.8876,-76.5119,34.25,66,100,1.01,US,overcast clouds
154,Marsh Harbour,26.5412,-77.0636,73.78,71,27,12.66,BS,scattered clouds
155,Lasa,46.6166,10.7002,42.26,96,100,8.34,IT,snow
156,Panjakent,39.4952,67.6093,31.8,80,100,1.41,TJ,overcast clouds
157,Lagos,6.5833,3.75,79.12,96,22,0.76,NG,few clouds
158,Camacha,33.0833,-16.3333,59.76,63,75,16.11,PT,broken clouds
159,Sao Joao Da Barra,-21.6403,-41.0511,75.63,88,2,16.71,BR,clear sky
160,Victoria,22.2855,114.1577,65.97,90,100,11.01,HK,overcast clouds
161,Kodiak,57.79,-152.4072,35.11,51,0,17.27,US,clear sky
162,Santa Rosa Del Sur,7.9644,-74.0544,69.51,80,41,3.09,CO,scattered clouds
163,Bredasdorp,-34.5322,20.0403,66.27,92,11,5.06,ZA,few clouds
164,Mahon,39.8885,4.2658,46.96,93,0,4.61,ES,clear sky
165,Trabzon,40.9167,39.8333,37.49,70,75,3.44,TR,broken clouds
166,Raudeberg,61.9875,5.1352,39.2,86,87,13.6,NO,overcast clouds
167,Sayyan,15.1718,44.3244,49.87,53,24,2.89,YE,few clouds
168,Georgetown,5.4112,100.3354,84.88,78,20,5.01,MY,few clouds
169,Provideniya,64.3833,-173.3,3.31,66,0,11.18,RU,clear sky
170,Kanchanaburi,14.6333,99.1,87.12,48,37,0.51,TH,scattered clouds
171,Beyneu,45.3167,55.2,28.72,88,73,6.6,KZ,broken clouds
172,Huarmey,-10.0681,-78.1522,71.2,79,100,6.4,PE,overcast clouds
173,Tahe,52.3333,124.7333,12.02,64,93,3.42,CN,overcast clouds
174,Isangel,-19.55,169.2667,82.51,94,100,13.8,VU,light rain
175,Atar,20.5169,-13.0499,68.36,12,2,5.95,MR,clear sky
176,Mildura,-34.2,142.15,89.08,25,40,10.36,AU,scattered clouds
177,Laguna,38.421,-121.4238,57.31,70,0,4.61,US,clear sky
178,Chilliwack,49.1747,-121.9443,44.78,89,14,1.14,CA,few clouds
179,Boddam,57.4667,-1.7833,38.39,75,13,15.08,GB,few clouds
180,Kualakapuas,-3.0091,114.3876,77.16,69,100,5.21,ID,overcast clouds
181,Geraldton,-28.7667,114.6,77.41,38,40,17.27,AU,scattered clouds
182,Te Anau,-45.4167,167.7167,71.31,39,26,1.32,NZ,scattered clouds
183,Barysh,53.6553,47.1123,-4.56,100,93,3.67,RU,overcast clouds
184,Kikwit,-5.041,18.8162,69.49,96,100,1.05,CD,overcast clouds
185,Longyearbyen,78.2186,15.6401,15.64,73,0,4.61,SJ,clear sky
186,Severnoye,56.3491,78.3619,6.01,86,100,3.62,RU,overcast clouds
187,Teya,60.3778,92.6267,4.66,98,94,3.09,RU,overcast clouds
188,Barrow,71.2906,-156.7887,-27.38,68,0,14.97,US,clear sky
189,Faanui,-16.4833,-151.75,81.07,75,90,20.47,PF,overcast clouds
190,Tura,25.5198,90.2201,64.18,50,1,2.91,IN,clear sky
191,Boundiali,9.5217,-6.4869,69.08,19,5,3.71,CI,clear sky
192,Mahajanga,-15.7167,46.3167,75.22,94,20,3.44,MG,few clouds
193,Mount Gambier,-37.8333,140.7667,89.51,14,0,17.27,AU,clear sky
194,Codrington,-38.2667,141.9667,80.31,36,0,17.52,AU,clear sky
195,Athens,37.9795,23.7162,53.94,88,20,4.0,GR,few clouds
196,Saskylakh,71.9167,114.0833,-26.64,100,92,4.34,RU,overcast clouds
197,Bethel,41.3712,-73.414,27.18,83,75,0.0,US,broken clouds
198,Prince Rupert,54.3161,-130.3201,44.69,81,100,19.57,CA,light rain
199,Bad Doberan,54.1071,11.9005,38.98,89,66,22.08,DE,broken clouds
200,Katobu,-4.9408,122.5276,88.66,57,93,7.7,ID,overcast clouds
201,Vao,-22.6667,167.4833,81.16,82,45,13.24,NC,scattered clouds
202,Beatrice,40.2681,-96.747,31.26,63,0,0.0,US,clear sky
203,Puerto Ayora,-0.7393,-90.3518,73.54,93,19,3.0,EC,few clouds
204,Bereda,43.2686,-7.5406,40.01,98,60,1.74,ES,broken clouds
205,New Norfolk,-42.7826,147.0587,81.66,28,0,3.0,AU,clear sky
206,Tilichiki,60.4667,166.1,-5.75,79,1,8.68,RU,clear sky
207,Ostroda,53.6967,19.9649,39.74,73,92,11.83,PL,overcast clouds
208,Deputatskiy,69.3,139.9,-31.7,94,83,4.63,RU,broken clouds
209,Asau,46.4333,26.4,32.76,72,100,7.49,RO,overcast clouds
210,Grand Bank,47.0999,-55.765,19.98,57,99,13.2,CA,overcast clouds
211,Porgera,-5.4667,143.2,54.79,70,100,2.21,PG,overcast clouds
212,Umtata,-31.5889,28.7844,64.96,94,40,3.44,ZA,scattered clouds
213,Carnarvon,-24.8667,113.6333,78.87,36,5,20.71,AU,clear sky
214,Amboasary,-25.0333,46.3833,76.84,93,100,6.87,MG,overcast clouds
215,Flin Flon,54.7682,-101.865,3.9,96,100,7.76,CA,overcast clouds
216,Henties Bay,-22.116,14.2845,67.86,82,94,6.31,NA,overcast clouds
217,Omsukchan,62.5333,155.8,-6.27,77,9,1.32,RU,clear sky
218,Qaqortoq,60.7167,-46.0333,10.9,56,100,35.86,GL,overcast clouds
219,Brus Laguna,15.75,-84.4833,69.03,81,17,0.51,HN,few clouds
220,Forestville,38.8451,-76.875,33.35,53,100,0.0,US,overcast clouds
221,Cordeiropolis,-22.4819,-47.4567,75.2,97,100,1.23,BR,light rain
222,Sola,-13.8833,167.55,82.6,80,100,21.77,VU,light rain
223,Arman,59.7,150.1667,12.02,75,75,6.06,RU,broken clouds
224,Kahului,20.8947,-156.47,78.82,58,40,20.71,US,scattered clouds
225,Karasjok,69.4719,25.5112,17.71,100,100,3.53,NO,overcast clouds
226,White Rock,49.0164,-122.8026,45.07,94,6,0.0,CA,clear sky
227,The Valley,18.217,-63.0578,77.09,70,88,22.79,AI,overcast clouds
228,Bambous Virieux,-20.3428,57.7575,78.22,79,100,10.63,MU,overcast clouds
229,Klaksvik,62.2266,-6.589,29.32,48,100,10.09,FO,overcast clouds
230,Luderitz,-26.6481,15.1594,67.33,77,52,0.45,NA,broken clouds
231,Saint Anthony,45.0205,-93.218,10.0,70,0,3.0,US,clear sky
232,Tuatapere,-46.1333,167.6833,61.83,46,0,8.03,NZ,clear sky
233,Assiniboia,49.6334,-105.9845,30.02,74,10,14.97,CA,clear sky
234,Broome,42.2506,-75.833,23.9,69,0,1.01,US,clear sky
235,Angoche,-16.2325,39.9086,74.07,93,95,9.95,MZ,overcast clouds
236,Katsuura,35.1333,140.3,46.51,31,25,2.42,JP,scattered clouds
237,Yerbogachen,61.2767,108.0108,-6.09,95,99,2.98,RU,overcast clouds
238,Da Lat,11.9465,108.4419,76.93,47,91,4.29,VN,overcast clouds
239,Lincoln,40.8,-96.667,31.28,62,0,0.0,US,clear sky
240,North Bend,43.4065,-124.2243,49.95,90,0,0.0,US,mist
241,Lebu,-37.6167,-73.65,58.86,92,4,14.92,CL,clear sky
242,Raga,8.4596,25.678,59.29,23,30,4.72,SS,scattered clouds
243,Portland,45.5234,-122.6762,49.37,85,0,3.0,US,clear sky
244,Fort Nelson,58.8053,-122.7002,15.39,92,20,5.75,CA,few clouds
245,Uzventis,55.7803,22.6547,33.87,97,100,16.51,LT,light snow
246,Carballo,43.213,-8.691,45.86,92,39,2.55,ES,scattered clouds
247,Itabira,-19.6192,-43.2269,65.55,98,100,1.68,BR,overcast clouds
248,Reading,51.4562,-0.9711,41.11,73,20,3.0,GB,few clouds
249,Koubia,11.5833,-11.9,63.63,20,3,1.97,GN,clear sky
250,Gaya,24.7833,85.0,53.51,94,0,0.0,IN,mist
251,Soyo,-6.1349,12.3689,75.9,88,78,7.4,AO,broken clouds
252,Coari,-4.085,-63.1414,73.27,98,97,2.48,BR,moderate rain
253,Medina,24.4686,39.6142,52.23,32,0,6.91,SA,clear sky
254,Nizwa,22.9333,57.5333,64.27,46,2,0.67,OM,clear sky
255,Mendoza,-32.8908,-68.8272,67.53,68,0,2.3,AR,clear sky
256,San Carlos De Bariloche,-41.1456,-71.3082,58.75,47,0,8.05,AR,clear sky
257,Lompoc,34.6391,-120.4579,57.22,76,0,5.75,US,clear sky
258,Ilulissat,69.2167,-51.1,5.02,72,20,10.36,GL,few clouds
259,Beringovskiy,63.05,179.3167,-15.81,94,16,5.12,RU,few clouds
260,Morgan City,29.6994,-91.2068,42.8,87,0,0.0,US,clear sky
261,Olga,43.7444,135.2892,20.46,42,2,12.19,RU,clear sky
262,Rahimatpur,17.6,74.2,74.12,42,48,3.71,IN,scattered clouds
263,Kushiro,42.975,144.3747,32.95,47,75,3.44,JP,broken clouds
264,Romny,50.751,33.4747,23.09,91,78,11.12,UA,broken clouds
265,Palmas De Monte Alto,-14.2672,-43.1619,65.82,97,99,2.1,BR,overcast clouds
266,Ahuimanu,21.4447,-157.8378,80.31,71,20,7.0,US,few clouds
267,Havelock,34.8791,-76.9013,42.78,87,61,5.99,US,broken clouds
268,Winneba,5.3511,-0.6231,81.07,87,88,5.73,GH,overcast clouds
269,Biak,-0.9131,122.8766,85.53,61,95,2.46,ID,overcast clouds
270,Narwar,25.65,77.9,62.42,36,0,4.68,IN,clear sky
271,Namibe,-15.1961,12.1522,72.34,70,94,7.25,AO,overcast clouds
272,Alofi,-19.0595,-169.9187,82.29,18,100,4.61,NU,light intensity drizzle
273,Betioky,-23.7167,44.3833,73.67,86,100,17.54,MG,light rain
274,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.56,71,63,5.3,BR,broken clouds
275,Pangody,65.85,74.4859,-17.7,100,89,6.31,RU,overcast clouds
276,Octeville,49.6261,-1.6435,48.06,70,0,10.36,FR,clear sky
277,Pisco,-13.7,-76.2167,66.02,94,40,4.61,PE,scattered clouds
278,Boone,39.0334,-92.3335,36.45,76,27,1.99,US,scattered clouds
279,Akyab,20.15,92.9,69.01,43,98,3.76,MM,overcast clouds
280,Sorab,14.3833,75.1,76.71,45,60,3.98,IN,broken clouds
281,Vargashi,55.3556,65.8467,0.77,89,13,8.12,RU,few clouds
282,Bonham,33.5773,-96.1783,42.6,69,0,3.44,US,clear sky
283,Ancud,-41.8697,-73.8203,54.93,90,5,0.65,CL,clear sky
284,Mar Del Plata,-38.0023,-57.5575,63.88,81,40,24.0,AR,scattered clouds
285,Manado,1.487,124.8455,88.57,70,40,8.05,ID,scattered clouds
286,Quelimane,-17.8786,36.8883,76.95,94,75,8.05,MZ,broken clouds
287,Acarau,-2.8856,-40.12,77.63,82,3,8.68,BR,clear sky
288,Adre,13.4667,22.2,55.42,23,0,16.55,TD,clear sky
289,Khandyga,62.6667,135.6,-19.88,87,91,1.01,RU,overcast clouds
290,Belmonte,-15.8631,-38.8828,77.5,84,55,5.5,BR,broken clouds
291,Nova Gradiska,45.255,17.3831,53.49,67,100,13.89,HR,overcast clouds
292,Dawlatabad,36.4141,64.9053,39.43,78,100,8.37,AF,overcast clouds
293,Eloi Mendes,-21.61,-45.5653,66.06,99,100,5.23,BR,overcast clouds
294,Vestmannaeyjar,63.4427,-20.2734,36.81,98,100,63.04,IS,overcast clouds
295,Arraial Do Cabo,-22.9661,-42.0278,75.09,92,1,17.18,BR,clear sky
296,Porto Novo,6.4965,2.6036,75.54,89,48,1.48,BJ,scattered clouds
297,Kropotkin,45.4375,40.5756,30.22,93,99,5.7,RU,overcast clouds
298,Kupang,-10.1667,123.5833,85.44,72,35,9.8,ID,scattered clouds
299,Limbang,4.75,115.0,86.31,52,100,1.03,MY,overcast clouds
300,Nagato,34.3833,131.2,45.05,43,57,8.57,JP,broken clouds
301,Yaroslavskiy,44.1683,132.2072,13.19,74,16,2.48,RU,few clouds
302,Haines Junction,60.7522,-137.5108,40.95,38,43,10.36,CA,scattered clouds
303,Uinskoye,56.8817,56.5813,5.41,96,89,2.1,RU,overcast clouds
304,Bac Lieu,9.285,105.7244,87.53,54,89,13.73,VN,overcast clouds
305,Padang,-0.9492,100.3543,86.05,66,100,1.97,ID,overcast clouds
306,Mundgod,14.9667,75.0333,67.12,52,22,3.44,IN,few clouds
307,Ventspils,57.3894,21.5606,33.73,93,100,2.3,LV,overcast clouds
308,Tombouctou,20.0,-3.0,61.09,14,1,9.31,ML,clear sky
